baseline_index,building_type,vintage_name,measure_id,infiltration_flow_per_exterior_area,cost_per_building
1,Barracks,1959-pre,infil_reduce,0.0002,122012
2,Fire Hall,1959-pre,infil_reduce,0.0003,67418
3,Food Service,1959-pre,infil_reduce,0.0002,83796
4,Food Service,2005-2014,NA,0.0002,0
5,Hangar,1959-pre,infil_reduce,0.0003,96777
6,Hangar,1960-1979,infil_reduce,0.0003,96777
7,Hangar,1980-2004,infil_reduce,0.0003,88824
8,Maintenance Shop,1959-pre,infil_reduce,0.0003,74019
9,Maintenance Shop,1980-2004,infil_reduce,0.0003,67140
10,Maintenance Shop-Small,1959-pre,infil_reduce,0.0003,47106
11,Maintenance Shop-Small,1960-1979,infil_reduce,0.0003,47106
12,Maintenance Shop-Small,1980-2004,infil_reduce,0.0003,43200
13,Office,1959-pre,infil_reduce,0.0002,54491
14,Office,1960-1979,infil_reduce,0.0002,54491
15,Office,1980-2004,infil_reduce,0.0002,49901
16,Office-Small,1960-1979,infil_reduce,0.0002,36956
17,Office-Small,1980-2004,infil_reduce,0.0002,33552
18,Office-Small,2005-2014,NA,0.0002,0
19,Recreation Center,1980-2004,infil_reduce,0.0002,112850
20,Storage Building,1959-pre,infil_reduce,0.0003,37359
21,Storage Building,1960-1979,infil_reduce,0.0003,37359
22,Storage Building,1980-2004,infil_reduce,0.0003,33525
23,Storage Building,2005-2014,NA,0.0003,0
24,Training Building,1959-pre,infil_reduce,0.0002,116444
25,Training Building,1980-2004,infil_reduce,0.0002,103803
26,Training Building,2005-2014,NA,0.0002,0
27,Vehicle Garage,1959-pre,infil_reduce,0.0003,67248
28,Vehicle Garage,1980-2004,infil_reduce,0.0003,62140
NA,Barracks,1960-1979,infil_reduce,0.0002,122012
NA,Barracks,1980-2004,infil_reduce,0.0002,110890
30,Barracks,2005-2014,NA,0.0002,0
NA,Fire Hall,1960-1979,infil_reduce,0.0003,67418
NA,Fire Hall,1980-2004,infil_reduce,0.0003,62831
31,Fire Hall,2005-2014,infil_reduce,0.0003,0
NA,Food Service,1960-1979,infil_reduce,0.0002,83796
NA,Food Service,1980-2004,infil_reduce,0.0002,76635
29,Hangar,2005-2014,NA,0.0003,0
NA,Maintenance Shop,1960-1979,infil_reduce,0.0003,74019
NA,Maintenance Shop,2005-2014,NA,0.0003,0
NA,Maintenance Shop-Small,2005-2014,NA,0.0003,0
NA,Office,2005-2014,NA,0.0002,0
NA,Office-Small,1959-pre,infil_reduce,0.0002,36956
NA,Recreation Center,1959-pre,infil_reduce,0.0002,123257
NA,Recreation Center,1960-1979,infil_reduce,0.0002,123257
NA,Recreation Center,2005-2014,NA,0.0002,0
NA,Training Building,1960-1979,infil_reduce,0.0002,116444
NA,Vehicle Garage,1960-1979,infil_reduce,0.0003,67248
NA,Vehicle Garage,2005-2014,NA,0.0003,0
