baseline_index,building_type,vintage_name,measure_id,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,cost_per_building
1,Barracks,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,36806
2,Fire Hall,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,5066
3,Food Service,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,4417
4,Food Service,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,4417
5,Hangar,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,37788
6,Hangar,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,37788
7,Hangar,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,37788
8,Maintenance Shop,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,5398
9,Maintenance Shop,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,5398
10,Maintenance Shop-Small,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,4417
11,Maintenance Shop-Small,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,4417
12,Maintenance Shop-Small,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,4417
13,Office,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,25028
14,Office,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,25028
15,Office,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,25028
16,Office-Small,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,7852
17,Office-Small,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,7852
18,Office-Small,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,7852
19,Recreation Center,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,15704
20,Storage Building,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,491
21,Storage Building,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,491
22,Storage Building,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,491
23,Storage Building,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,491
24,Training Building,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,20121
25,Training Building,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,20121
26,Training Building,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,20121
27,Vehicle Garage,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,4908
28,Vehicle Garage,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,4908
NA,Barracks,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,36806
NA,Barracks,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,36806
30,Barracks,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,36806
NA,Fire Hall,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,5066
NA,Fire Hall,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,5066
31,Fire Hall,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,5066
NA,Food Service,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,4417
NA,Food Service,1980-2004,occupancy_setback,TRUE,0.05,17,22,99,24,4417
29,Hangar,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,37788
NA,Maintenance Shop,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,5398
NA,Maintenance Shop,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,5398
NA,Maintenance Shop-Small,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,4417
NA,Office,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,25028
NA,Office-Small,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,7852
NA,Recreation Center,1959-pre,occupancy_setback,TRUE,0.05,17,22,99,24,15704
NA,Recreation Center,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,15704
NA,Recreation Center,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,15704
NA,Training Building,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,20121
NA,Vehicle Garage,1960-1979,occupancy_setback,TRUE,0.05,17,22,99,24,4908
NA,Vehicle Garage,2005-2014,occupancy_setback,TRUE,0.05,17,22,99,24,4908
